Separation_m,ElevDelta_m,A_Faction,A_Prototype,A_GUID,A_X,A_Y,A_Z,A_Active,B_Faction,B_Prototype,B_GUID,B_X,B_Y,B_Z,B_Active,Relation,RelationVia,A_may_attack_B,B_may_attack_A,A_KmToRostok,B_KmToRostok
357,1,Militaries,Militaries,69F0639D49D8FEDF4165909852B0DBF1,453894,688541,-1520,,Neutrals,GuardNeutrals,7CEE20E44B99419F579F83B5B894AD04,445630,653830,-1390,true,-800,Militaries<->Neutrals,,,3.07,2.72
354,6,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Militaries,Militaries,F64E5FD14276B7683A39EEB75DC3E0A2,454583,562031,1799,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.17,2.01
350,5,Monolith,Monolith,5EC95C7D481FE9D9DF082D8EEB4547EA,258327,182428,2397,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.38,2.68
343,7,Duty,GuardDuty,7BB95D014B629E9DF13ACE8E5BB926BB,498873,373425,1456,true,Monolith,Monolith,8637E4444CE7A435B300E0A54001F27E,480500,344450,802,,-800,Duty<->Monolith,Duty->Monolith,Monolith->Duty,1.82,1.73
340,7,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Neutrals,GuardNeutrals,D3DF49C048809839216053A65E26FFD9,401320,552660,1730,true,-800,Militaries<->Neutrals,,,1.34,1.62
336,7,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Neutrals,GuardNeutrals,470BDF2241A1D97325889299AB204504,407780,551740,1730,true,-800,Militaries<->Neutrals,,,1.34,1.64
328,3,Militaries,Militaries,69F0639D49D8FEDF4165909852B0DBF1,453894,688541,-1520,,Neutrals,Neutrals,A2F4116D45A792FDC8B005A61C9CCDDA,446205,656699,-1815,true,-800,Militaries<->Neutrals,,,3.07,2.75
320,9,Neutrals,Neutrals,23B66DCB4AD0BBB36EDE019D5F189EA2,216220,270450,2090,true,Monolith,Monolith,ACD5EDDE4CE6BFED58421092CF21C88C,247011,261808,1222,true,-800,Neutrals<->Monolith,Neutrals->Monolith,Monolith->Neutrals,1.76,1.68
319,9,Corpus,Corpus,309207E2413069B6284084983C86D7E7,216226,270325,2121,true,Monolith,Monolith,ACD5EDDE4CE6BFED58421092CF21C88C,247011,261808,1222,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,1.76,1.68
317,1,Corpus,GuardCorpus,726424A34DFD261DACC182BC6032EFA7,215630,266160,1330,true,Monolith,Monolith,ACD5EDDE4CE6BFED58421092CF21C88C,247011,261808,1222,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,1.8,1.68
317,1,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Neutrals,Neutrals,D0EA64D441AB2ADA2D2FA89F7F33DF1A,403673,550246,878,true,-800,Militaries<->Neutrals,,,1.34,1.61
312,1,Militaries,Militaries,69F0639D49D8FEDF4165909852B0DBF1,453894,688541,-1520,,Neutrals,GuardNeutrals,C9E78A6D4DBCEA6467B29FBC57F277ED,450050,657590,-1390,true,-800,Militaries<->Neutrals,,,3.07,2.77
306,7,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Neutrals,GuardNeutrals,E0AF93DE4374FD279D4C6DA13BBEFE4B,394880,548400,1730,true,-800,Militaries<->Neutrals,,,1.34,1.55
252,7,Militaries,Militaries,38475DEF4B3BF46D9FF46296B3EC08F0,401877,518640,1026,true,Neutrals,GuardNeutrals,9EF70D664EB9D3F613F48DB7C03DFE69,402960,543790,1730,true,-800,Militaries<->Neutrals,,,1.34,1.55
243,1,Corpus,GuardCorpus,9201E62B45DB1D3BF47EFF8EA692E963,224120,269860,1330,true,Monolith,Monolith,ACD5EDDE4CE6BFED58421092CF21C88C,247011,261808,1222,true,-800,Corpus<->Monolith,Corpus->Monolith,Monolith->Corpus,1.72,1.68
235,16,Militaries,Militaries,BDA016D949E3258284283F936E9F92D3,412080,358223,1124,false,Bandits,Bandits,FBF33E574BB156F9E692EF82DD8AF99F,432688,369467,2752,true,-800,Militaries<->Bandits,,,1.06,1.19
230,11,Militaries,Militaries,5F5186214B87C4D2E76C15BD7664896A,452365,675842,-2523,true,Neutrals,GuardNeutrals,7CEE20E44B99419F579F83B5B894AD04,445630,653830,-1390,true,-800,Militaries<->Neutrals,,,2.95,2.72
209,2,Monolith,Monolith,338676914DDAF0CB9957D0A868F4B8D9,250016,169624,2146,true,Corpus,GuardCorpus,C0750CCD41E475C6C371729350BC1022,231523,159879,1913,true,-800,Monolith<->Corpus,Monolith->Corpus,Corpus->Monolith,2.53,2.68
201,7,Militaries,Militaries,5F5186214B87C4D2E76C15BD7664896A,452365,675842,-2523,true,Neutrals,Neutrals,A2F4116D45A792FDC8B005A61C9CCDDA,446205,656699,-1815,true,-800,Militaries<->Neutrals,,,2.95,2.75
184,11,Militaries,Militaries,5F5186214B87C4D2E76C15BD7664896A,452365,675842,-2523,true,Neutrals,GuardNeutrals,C9E78A6D4DBCEA6467B29FBC57F277ED,450050,657590,-1390,true,-800,Militaries<->Neutrals,,,2.95,2.77
180,17,Militaries,Militaries,9D2697404AC27FADE1D5EDA653F72130,432468,603311,4060,true,Monolith,Monolith,B91D2E4040F6F7DDB5981780D423FD7F,426413,586321,2374,false,-800,Militaries<->Monolith,,Monolith->Militaries,2.21,2.04
165,17,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Militaries,Militaries,4F447BD742F2EF955B5E2F893FD10171,423746,599334,4060,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.17,2.13
164,0,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Militaries,Militaries,4C4E94C14C3C8E8531B2ACAFD1C0895F,423559,598540,2374,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.17,2.13
162,0,Monolith,Monolith,6DFDB9B843430F45F2FDA789838D051B,423912,598540,2374,false,Militaries,Militaries,BABC5EE4455883647FF170B10AFF8318,439368,593784,2374,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.13,2.17
152,0,Monolith,Monolith,33C4403A4552D4773CB5628EE6221964,439368,594001,2374,false,Militaries,Militaries,6DC693184D37EE5A421176A86C9A7632,426413,586078,2374,true,-800,Monolith<->Militaries,Monolith->Militaries,,2.17,2.03
