Faction,LocalizedName,IsAlias,AliasOf,InRelationPrototypes,InRelationsCsv,InPopulationManager,InLairPrototypes,InNPCPrototypes,LairPrototypeCount,PlacedLairCount_ifKnown,SourceFiles,Notes
MykluhaFreedom,,TRUE,FreeStalkers,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,blocks:FactionRollbackCooldowns|RelationUpdateDeltas; refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
NeutralBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes; ObjPrototypes Faction=
NeutralMSOP,,TRUE,Militaries,TRUE,FALSE,FALSE,TRUE,TRUE,1,3,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:FactionRollbackCooldowns; refs:ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Neutrals,Lone Stalkers,TRUE,FreeStalkers,TRUE,FALSE,TRUE,TRUE,TRUE,15,45,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/QuestNodePrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|FactionRollbackCooldowns; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/QuestNodePrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
NoahLesya,,TRUE,Neutrals,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Noon,Noontide,TRUE,FreeStalkers,TRUE,FALSE,TRUE,TRUE,TRUE,13,10,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
NoonFaustians,,TRUE,Noon,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:ObjPrototypes; ObjPrototypes Faction=
Object68,,TRUE,Snork,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg,refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg; ObjPrototypes Faction=
Player,,FALSE,,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv;GameLite/GameData/ObjPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions|RelationUpdateDeltas; refs:ObjPrototypes.cfg; ObjPrototypes Faction=
Poltergeist,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,4,17,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Pseudobear,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
Pseudodog,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,12,8,DLCGameData/DLC1/LairPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Pseudogiant,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,1,4,DLCGameData/DLC1/ObjPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**,refs:DLCGameData/DLC1/ObjPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes; ObjPrototypes Faction=
Rat,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,5,11,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:NegativeReactionsExcludedFactions; refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Ratwolf,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
RooseveltBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes|QuestNodePrototypes; ObjPrototypes Faction=
SafariHunters,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
ScarBoss_Faction,,TRUE,Spark,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
Scientists,Scientists,TRUE,FreeStalkers,TRUE,FALSE,FALSE,TRUE,TRUE,12,1,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|FactionRollbackCooldowns; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
ShahBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes|QuestNodePrototypes; ObjPrototypes Faction=
ShevchenkoStalkers,,TRUE,Neutrals,TRUE,FALSE,FALSE,FALSE,TRUE,0,1,GameLite/GameData/DialogPrototypes/*;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:FactionRollbackCooldowns; refs:DialogPrototypes|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Sinister,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
SIRCAA_Scientist,,TRUE,Scientists,TRUE,FALSE,FALSE,TRUE,TRUE,1,0,GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:ObjPrototypes|QuestNodePrototypes; ObjPrototypes Faction=
Snork,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,12,13,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies; refs:NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Spark,Spark,TRUE,FreeStalkers,TRUE,FALSE,TRUE,TRUE,TRUE,12,4,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/AIGlobals.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:AIGlobals.cfg|DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
SparkLesnichestvo,,TRUE,Spark,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
SphereMilitaries,,TRUE,Militaries,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
SQ72_Varta,,TRUE,Humanoid,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
SQ89_SidorMercs,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
Stickman,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg,refs:NotificationEventPrototypes.cfg
StrelokBoss_Faction,,TRUE,Mutant,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
SultanBandits,Sultan’s Bandits,TRUE,Bandits,TRUE,FALSE,TRUE,TRUE,TRUE,2,3,GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:FactionRollbackCooldowns; refs:DialogPrototypes|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
Tushkan,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,TRUE,18,12,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,refs:DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|ObjPrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
UdavMercenaries,,TRUE,Mercenaries,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes; ObjPrototypes Faction=
VaranBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg,blocks:FactionRollbackCooldowns; refs:ObjPrototypes|QuestNodePrototypes; ObjPrototypes Faction=
VaranStashBandits,,TRUE,VaranBandits,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
Varta,The Ward,TRUE,Army,TRUE,FALSE,TRUE,TRUE,TRUE,14,17,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/DialogPrototypes/*;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/ObjPrototypes/*;GameLite/GameData/QuestNodePrototypes/*;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:ExpansionPolicies|NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/ObjPrototypes.cfg|DLCGameData/DLC1/SpawnActorPrototypes.cfg|DialogPrototypes|NotificationEventPrototypes.cfg|ObjPrototypes|QuestNodePrototypes|SpawnActorPrototypes; ObjPrototypes Faction=
VartaLesnichestvo,,TRUE,Varta,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
VartaSIRCAA,,TRUE,Varta,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions
WildBandits,,TRUE,Bandits,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,GameLite/GameData/ObjPrototypes/*;GameLite/GameData/RelationPrototypes.cfg,refs:ObjPrototypes; ObjPrototypes Faction=
YanovCorpus,,TRUE,Corpus,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
YantarZombie,,TRUE,Zombie,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,GameLite/GameData/RelationPrototypes.cfg,
Zombie,,TRUE,Mutant,TRUE,FALSE,TRUE,TRUE,FALSE,27,16,DLCGameData/DLC1/LairPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/SpawnActorPrototypes.cfg;GameLite/GameData/ALifePrototypes/ALifePopulationManagerFactionPrototypes.cfg;GameLite/GameData/LairPrototypes/GenericLairPrototypes.cfg;GameLite/GameData/NotificationEventPrototypes.cfg;GameLite/GameData/RelationPrototypes.cfg;GameLite/GameData/SpawnActorPrototypes/**;GameLite/GameData/SpawnActorPrototypes/ALifeGym_WP/*;GameLite/GameData/SpawnActorPrototypes/WorldMap_WP/*,blocks:NegativeReactionsExcludedFactions|PositiveReactionsExcludedFactions; refs:DLCGameData/DLC1/SpawnActorPrototypes.cfg|NotificationEventPrototypes.cfg|SpawnActorPrototypes
Zombie_CNPP,,TRUE,Zombie,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,
ZulusBoss_Faction,,TRUE,Duty,TRUE,TRUE,FALSE,FALSE,TRUE,0,0,DLCGameData/DLC1/ObjPrototypes.cfg;DLCGameData/DLC1/RelationPrototypes.cfg;DLCGameData/DLC1/Relations.csv,refs:DLCGameData/DLC1/ObjPrototypes.cfg; ObjPrototypes Faction=
